Gen	t_n5	t_n6	t_n7	mu1	mu2	mu3	mu4	mu5	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	lnL
1	0.3194664	0.0550046	0.0698484	0.0707108	0.0760322	0.0642611	0.0679710	0.0656209	4.2384815	4.0107021	4.0545271	4.5956359	4.2186701	0.5252075	1.6381227	0.4292277	0.8345528	2.7008981	-247299.289
2	0.3194664	0.0527947	0.0724131	0.0707108	0.0760322	0.0642611	0.0697521	0.0677503	4.7296736	4.0107021	3.1994437	4.5956359	4.2186701	0.5252075	0.7690534	0.9163737	0.7683436	1.1191795	-247300.377
4	0.3607448	0.0608597	0.0772802	0.0613404	0.0659566	0.0557454	0.0605088	0.0587722	4.7296736	4.0107021	3.9092407	4.9108155	4.2186701	0.4730174	0.7690534	0.9163737	0.7683436	1.6966849	-247300.113
6	0.3181521	0.0561830	0.0680469	0.0711950	0.0795565	0.0647011	0.0685450	0.0682143	4.2711334	3.9258777	3.9092407	4.9503965	4.2186701	0.4730174	0.7690534	1.0786124	0.7683436	0.5968239	-247297.251
8	0.3220253	0.0530878	0.0683358	0.0711950	0.0839882	0.0598592	0.0685450	0.0682143	4.7815233	3.9258777	3.9092407	4.4472162	4.5913887	0.4730174	0.7690534	1.0786124	0.7683436	0.8412370	-247297.843
10	0.3274267	0.0553334	0.0683358	0.0711950	0.0811218	0.0638302	0.0657529	0.0648819	4.8068784	4.4533721	3.2480610	4.6679792	5.0272868	0.4730174	0.7690534	1.0786124	0.7683436	1.5530343	-247299.824
12	0.3831450	0.0625848	0.0786016	0.0615980	0.0673577	0.0523296	0.0571652	0.0564079	3.9671244	4.4533721	3.7597464	4.6679792	4.1142343	0.9031536	0.7690534	1.0786124	1.3482033	0.5352313	-247303.941
14	0.3576005	0.0606158	0.0722025	0.0635989	0.0728814	0.0580619	0.0620319	0.0586201	4.5375609	4.4533721	3.7597464	4.6679792	4.1142343	0.9031536	0.7690534	1.4267854	0.7739244	0.5352313	-247298.828
16	0.3176991	0.0538687	0.0673357	0.0715647	0.0820098	0.0684478	0.0698014	0.0632749	4.5375609	3.8423155	3.7597464	4.6679792	4.4452570	0.9031536	0.7690534	0.6518901	0.7739244	2.4981555	-247298.663
18	0.2855073	0.0511184	0.0605127	0.0765132	0.0909491	0.0712714	0.0776717	0.0704093	5.0799932	4.2100959	3.1182078	4.6679792	3.9757962	0.9031536	0.5540488	0.6518901	0.5570507	2.1048183	-247302.081
20	0.3346532	0.0546213	0.0721315	0.0641886	0.0762992	0.0579926	0.0651605	0.0614872	4.3505475	4.2100959	3.1182078	4.6679792	3.9757962	0.9031536	2.8871606	0.9786660	0.9022182	2.1048183	-247299.728
22	0.3405870	0.0555898	0.0734105	0.0639952	0.0749699	0.0613099	0.0640253	0.0604159	4.8413826	4.2100959	3.1182078	4.4184295	3.9757962	0.4134852	2.8871606	0.9786660	0.9022182	2.1048183	-247301.221
24	0.3079025	0.0537698	0.0663656	0.0707884	0.0829281	0.0658518	0.0708217	0.0668292	4.8413826	4.1971048	3.5213929	4.2794531	3.9757962	1.0644306	2.8871606	1.2699253	1.4992679	2.1048183	-247301.711
26	0.3479779	0.0595025	0.0734412	0.0639684	0.0773060	0.0556688	0.0639985	0.0573749	4.2528838	4.1971048	3.9074982	4.7013954	3.9757962	1.0644306	0.7556871	1.2699253	0.7618007	1.0127340	-247298.778
28	0.3077870	0.0526300	0.0626603	0.0723214	0.0838202	0.0647614	0.0723554	0.0681734	4.2528838	4.1971048	3.1431462	4.7013954	4.3804395	1.0644306	1.7713282	0.6111079	0.5762088	1.0127340	-247299.016
30	0.3466462	0.0592748	0.0730798	0.0642142	0.0744239	0.0575017	0.0642443	0.0643945	4.5291208	4.1971048	3.9938033	5.0409041	4.3804395	1.0644306	0.7691540	0.5177640	0.5762088	0.9291012	-247298.070
32	0.3772201	0.0657283	0.0810364	0.0579093	0.0671166	0.0518558	0.0579365	0.0550172	3.9751876	4.3784712	3.9938033	4.5325562	4.0750584	1.0644306	0.7691540	1.0109923	1.0197405	3.1437583	-247300.261
34	0.3606923	0.0591728	0.0774858	0.0605628	0.0729893	0.0583866	0.0605912	0.0575382	4.1026684	4.3968165	3.9938033	5.0712657	4.0750584	1.5837879	0.7691540	0.8919149	0.6691881	0.9506660	-247300.477
36	0.3606923	0.0609036	0.0823243	0.0605628	0.0729893	0.0531703	0.0605912	0.0598304	4.1026684	4.3968165	3.2585084	4.9580158	3.9664440	1.5837879	0.7691540	1.9292904	0.6691881	0.6283804	-247300.943
38	0.3529131	0.0593705	0.0765836	0.0635559	0.0748589	0.0600236	0.0605912	0.0598304	4.5757503	4.3968165	4.2366980	4.9580158	3.8663933	1.5837879	1.7317847	0.8894677	0.6691881	2.2771708	-247302.036
40	0.3575819	0.0572579	0.0784134	0.0635559	0.0728802	0.0600236	0.0605912	0.0563768	4.9436100	4.3968165	3.2983119	4.9580158	3.8663933	0.8601352	1.7317847	0.4321660	0.6691881	0.8828699	-247304.263
42	0.3329523	0.0525224	0.0719282	0.0692862	0.0794512	0.0608011	0.0660542	0.0661810	4.9436100	3.8657050	3.2983119	4.7341240	4.4649004	0.8601352	1.7317847	1.1026371	0.9219935	0.4423662	-247300.979
44	0.3251588	0.0539072	0.0719282	0.0666925	0.0794512	0.0648197	0.0654581	0.0707631	4.4708750	3.7899570	4.0054839	4.7341240	4.4649004	0.8601352	1.7317847	1.1026371	0.9219935	0.4423662	-247301.276
46	0.3357803	0.0563351	0.0719282	0.0666925	0.0733850	0.0573748	0.0654581	0.0680556	4.0367430	4.0653443	3.4873784	4.7341240	4.4649004	0.8601352	2.7170113	1.1026371	0.9219935	1.2306928	-247301.015
48	0.3530380	0.0580090	0.0781196	0.0655472	0.0719239	0.0571753	0.0602702	0.0607069	4.9482370	4.0653443	3.4873784	4.8995218	4.4649004	0.4424469	2.7170113	1.0996261	0.4464062	0.6425484	-247300.678
50	0.3091553	0.0496847	0.0646466	0.0710858	0.0839742	0.0667546	0.0697713	0.0708779	4.2264120	4.0653443	3.7966386	4.7588249	4.4649004	0.7567007	0.8043246	1.6564093	0.6759397	0.8381835	-247297.608
52	0.3579505	0.0592259	0.0781499	0.0634432	0.0762784	0.0540194	0.0602602	0.0612160	4.5818390	4.0653443	3.7966386	4.7588249	4.4649004	0.7567007	0.8043246	0.8231213	0.8252821	0.8381835	-247296.583
54	0.3579505	0.0592259	0.0781499	0.0634432	0.0732887	0.0604876	0.0622492	0.0585992	4.5818390	4.0653443	3.1703709	4.7588249	4.0287604	0.7567007	0.8043246	0.8231213	1.0839657	1.7404496	-247297.817
56	0.2990105	0.0507004	0.0631827	0.0741116	0.0856126	0.0744305	0.0727167	0.0714072	4.5818390	4.0653443	3.9105290	4.7588249	4.0287604	0.7377241	0.8043246	0.8231213	0.7972532	1.7404496	-247297.044
58	0.3457079	0.0566014	0.0772734	0.0641008	0.0740482	0.0582115	0.0628943	0.0617617	4.5818390	4.0653443	3.9105290	4.7588249	4.5291530	0.7377241	0.8365271	1.0887074	1.1288103	1.7404496	-247297.044
60	0.3535299	0.0569243	0.0777144	0.0637371	0.0764902	0.0641272	0.0625375	0.0614113	4.3456001	4.0653443	3.9105290	4.7588249	4.5291530	0.7377241	1.4324166	1.1588215	0.7000372	1.7404496	-247301.804
62	0.3441651	0.0613274	0.0776880	0.0665375	0.0765161	0.0641489	0.0625587	0.0614321	4.2267270	4.0653443	3.4398753	4.7588249	4.5291530	0.7377241	1.4324166	1.1588215	1.1673876	1.7404496	-247301.709
64	0.3549573	0.0604797	0.0801242	0.0645145	0.0711262	0.0540234	0.0606566	0.0595643	4.2267270	4.0653443	3.4398753	4.7588249	3.6191792	0.7377241	1.4324166	1.0660224	0.7510946	1.7404496	-247299.768
66	0.3147728	0.0525730	0.0680831	0.0712669	0.0818231	0.0621482	0.0722904	0.0721844	4.2267270	4.0653443	3.4398753	4.9617112	3.6191792	0.4801300	1.4324166	1.0660224	0.4407937	0.7100380	-247302.248
