Gen	t_n5	t_n6	t_n7	mu1	mu2	mu3	mu4	mu5	sigma2_1	sigma2_2	sigma2_3	sigma2_4	sigma2_5	lnL
1	0.3296858	0.0637320	0.0684313	0.0705762	0.0651801	0.0582334	0.0542044	0.0589781	0.2633703	0.1536088	0.0052993	0.1152390	0.1489712	-255120.447
2	0.3043182	0.0552459	0.0631658	0.0607796	0.0706134	0.0630877	0.0587228	0.0638944	0.0971195	0.1536088	0.0196236	0.1152390	0.1489712	-255119.030
4	0.3553476	0.0597574	0.0787245	0.0518721	0.0602647	0.0538419	0.0472411	0.0452770	0.0971195	0.0630303	0.0063759	0.3345432	0.7201539	-255124.175
6	0.3348132	0.0563042	0.0706731	0.0550535	0.0639608	0.0571441	0.0514540	0.0462191	0.1476110	0.0630303	0.0300351	0.3345432	0.7201539	-255121.399
8	0.3745468	0.0688974	0.0739586	0.0581375	0.0556960	0.0497601	0.0503254	0.0449075	0.1476110	0.0793953	0.1125317	0.1125195	0.1798382	-255126.031
10	0.3400055	0.0625436	0.0733201	0.0640437	0.0761200	0.0548153	0.0554380	0.0717363	0.1476110	0.0793953	0.1125317	0.1125195	0.1798382	-255127.949
12	0.4041479	0.0723552	0.0792738	0.0553592	0.0534755	0.0473822	0.0549977	0.0565998	0.0652750	0.0793953	0.0221216	0.1125195	0.0770044	-255126.446
14	0.3597135	0.0675480	0.0790838	0.0592989	0.0572811	0.0578623	0.0535586	0.0679604	0.0629757	0.0793953	0.0596947	0.0560265	0.0770044	-255127.548
16	0.3611287	0.0673151	0.0703096	0.0595041	0.0574794	0.0580625	0.0550525	0.0584495	0.0629757	0.0793953	0.1895499	0.0560265	0.0550694	-255127.103
18	0.3556502	0.0662939	0.0717069	0.0604207	0.0596015	0.0589569	0.0519399	0.0593498	0.1973283	0.1335639	0.0575074	0.2110311	0.0251047	-255120.333
20	0.3472690	0.0647316	0.0660845	0.0618790	0.0700330	0.0603798	0.0535550	0.0607822	0.1973283	0.2899147	0.0575074	0.3543290	0.0251047	-255121.860
22	0.3808150	0.0737014	0.0724682	0.0564281	0.0638638	0.0550610	0.0582938	0.0554279	0.1973283	0.2056404	0.0515852	0.1294753	0.1127524	-255123.089
24	0.3637465	0.0641782	0.0711972	0.0613742	0.0783957	0.0514213	0.0634035	0.0602864	0.3938706	0.2056404	0.0515852	0.1294753	0.1127524	-255123.982
26	0.4054393	0.0761996	0.0745433	0.0543149	0.0583668	0.0429325	0.0453365	0.0630299	0.1875460	0.1114066	0.0515852	0.1294753	0.1127524	-255117.985
