Gen	t_n5	t_n6	t_n7	mu1	mu2	mu3	mu4	mu5	lnL
1	0.3015518	0.0532986	0.0635911	0.0715372	0.0846774	0.0669050	0.0701949	0.0644253	-255149.300
2	0.3591852	0.0629750	0.0751361	0.0605452	0.0689181	0.0513875	0.0594092	0.0545261	-255150.560
4	0.3196664	0.0545696	0.0695479	0.0666523	0.0795336	0.0611926	0.0657572	0.0681496	-255146.908
6	0.3600311	0.0605885	0.0783299	0.0573692	0.0711845	0.0543320	0.0609150	0.0584066	-255149.409
8	0.3600311	0.0645577	0.0783299	0.0588501	0.0685828	0.0543320	0.0585981	0.0584066	-255145.730
10	0.2998254	0.0537621	0.0652312	0.0706674	0.0822014	0.0652420	0.0680365	0.0678665	-255147.507
12	0.3702661	0.0663930	0.0805566	0.0600518	0.0700596	0.0528301	0.0572655	0.0549553	-255147.034
14	0.3683444	0.0626907	0.0805566	0.0571025	0.0671091	0.0515560	0.0572655	0.0549553	-255146.697
16	0.2814534	0.0504757	0.0608547	0.0755896	0.0924697	0.0733324	0.0758053	0.0727473	-255147.450
18	0.3322330	0.0612481	0.0742554	0.0630583	0.0748869	0.0608947	0.0629481	0.0652392	-255148.510
20	0.2962829	0.0521086	0.0662204	0.0707096	0.0839734	0.0682835	0.0718861	0.0684306	-255145.930
22	0.2962829	0.0521086	0.0662204	0.0707096	0.0839734	0.0682835	0.0761494	0.0725011	-255153.937
24	0.3216925	0.0575791	0.0697843	0.0676313	0.0784894	0.0583990	0.0661126	0.0622311	-255146.644
26	0.3216925	0.0575791	0.0735972	0.0652266	0.0812782	0.0571392	0.0642344	0.0639537	-255148.854
28	0.2928440	0.0493884	0.0639503	0.0737867	0.0845584	0.0687073	0.0726642	0.0723467	-255146.231
30	0.3359590	0.0558712	0.0723446	0.0635753	0.0746062	0.0550963	0.0616036	0.0612349	-255149.189
32	0.3308879	0.0558712	0.0773753	0.0614182	0.0780200	0.0598906	0.0641963	0.0612349	-255150.630
34	0.3308879	0.0558712	0.0756600	0.0614182	0.0780200	0.0598906	0.0641963	0.0612349	-255149.280
36	0.2991358	0.0526883	0.0671044	0.0692488	0.0826317	0.0586547	0.0723812	0.0690422	-255150.212
38	0.3048381	0.0526883	0.0683760	0.0730978	0.0803668	0.0666807	0.0688896	0.0690422	-255146.695
