tl:0.1	tl:0.3	tl:0.5	tl:1	tl:1.5	tl:2	tl:3
0.81522	0.42484	0.53217	0.56474	0.53299	0.47986	0.45538
0.55488	0.54704	0.44100	0.45835	0.42363	0.45789	0.65162
0.62104	0.48868	0.48248	0.55332	0.50125	0.43675	0.45170
0.30969	0.60049	0.42545	0.62734	0.50794	0.39932	0.40734
0.67067	0.35178	0.34921	0.43915	0.51820	0.48372	0.55008
0.81494	0.41957	0.43348	0.37449	0.45647	0.53916	0.48973
0.39142	0.55294	0.55191	0.47757	0.43513	0.43036	0.47463
0.44856	0.51001	0.53673	0.52389	0.52246	0.55262	0.46169
0.36312	0.57938	0.55234	0.41017	0.50824	0.54745	0.66032
0.76923	0.68827	0.58483	0.61403	0.47858	0.41689	0.49866
0.46596	0.72031	0.37029	0.48618	0.44659	0.54884	0.50558
0.70812	0.46188	0.67610	0.48446	0.60244	0.46477	0.64628
0.59731	0.56410	0.52664	0.46175	0.48508	0.46735	0.47918
0.51723	0.40776	0.46526	0.48260	0.56323	0.50585	0.41518
0.35920	0.31485	0.61822	0.53330	0.49637	0.50516	0.38659
0.45024	0.58531	0.52187	0.38864	0.43664	0.60863	0.44666
0.30509	0.47869	0.49020	0.47187	0.48462	0.49888	0.45886
0.50792	0.55094	0.59849	0.46507	0.55163	0.54295	0.45860
0.58978	0.65111	0.40029	0.53499	0.46400	0.54144	0.38972
0.33604	0.45738	0.48333	0.52868	0.38385	0.49025	0.60973
0.33774	0.66888	0.43456	0.45832	0.48636	0.53456	0.37412
0.55071	0.42722	0.51897	0.45067	0.49586	0.56593	0.40762
0.37278	0.54393	0.59896	0.42847	0.51377	0.56468	0.49300
0.53195	0.41924	0.42459	0.49991	0.51362	0.50313	0.46524
0.54472	0.44953	0.73373	0.49700	0.46870	0.55766	0.53026
0.89678	0.43131	0.40374	0.49831	0.58871	0.52253	0.56252
0.54638	0.46235	0.54123	0.55010	0.53236	0.50964	0.68258
0.53554	0.53306	0.41370	0.59736	0.44988	0.46041	0.52011
0.65517	0.45820	0.49751	0.59472	0.40875	0.54152	0.45340
0.76733	0.47993	0.49018	0.48180	0.50285	0.57575	0.53172
0.92353	0.38718	0.39306	0.68352	0.46418	0.52795	0.52184
0.61783	0.65008	0.45922	0.40789	0.53116	0.55781	0.53954
1.13127	0.64618	0.41747	0.48319	0.55704	0.48165	0.59168
0.35396	0.44139	0.44684	0.44558	0.53219	0.57520	0.56290
0.34027	0.50809	0.67030	0.44879	0.47729	0.60579	0.44391
0.57271	0.42127	0.53479	0.51081	0.52745	0.46183	0.41752
0.36148	0.47324	0.45012	0.48526	0.59265	0.61247	0.54556
0.32440	0.41336	0.50031	0.54477	0.54090	0.44807	0.43691
0.66734	0.37123	0.52049	0.62301	0.49480	0.50669	0.46758
0.75540	0.41178	0.59327	0.52670	0.49655	0.42510	0.55182
0.33547	0.54691	0.52309	0.49586	0.49290	0.57345	0.49207
0.26046	0.47542	0.55026	0.49997	0.47270	0.59202	0.57756
0.40589	0.42089	0.65795	0.51678	0.43514	0.54001	0.50308
0.42404	0.58372	0.41472	0.51396	0.57324	0.51493	0.61551
0.31429	0.51267	0.44406	0.58613	0.52201	0.52179	0.52465
0.56370	0.51991	0.53047	0.56422	0.49147	0.50966	0.58080
0.39475	0.44135	0.43502	0.44477	0.47961	0.48220	0.53025
0.82999	0.44038	0.58165	0.52518	0.49670	0.54151	0.40690
0.85367	0.45644	0.45320	0.46514	0.54251	0.57617	0.52221
0.48997	0.53844	0.39521	0.58543	0.43657	0.53933	0.38375
0.54211	0.41542	0.49764	0.51682	0.48320	0.39998	0.51406
1.01087	0.43828	0.49575	0.60154	0.39498	0.44704	0.42143
