Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	sr[5]	TL
0	-5218.839	-5247.113	28.27487	0.2015141	0.0343338	0.0340074	0.0178224	0.0609186	0.0303401	0.0368705	0.0733318	0.0205805	0.0146414	0.00732498	0.125993	0.0823362	0.013746	0.00218231	0.000818702	0.0176115	0.0116744	0.043833	0.0283045	0.0114636	0.0319446	0.128122	0.314232	0.0256143	0.0935568	0.381551	0.0569237	0.273365	0.190882	0.222515	0.313239	0.000184837	0.0113759	0.120885	0.670438	4.19712	0.7000791
10	-5213.584	-5241.161	27.5775	0.1924298	0.0317092	0.0477108	0.024364	0.0678185	0.0661049	0.0357293	0.0800067	0.0232467	0.00915159	0.00530252	0.121558	0.0674858	0.0070238	0.00428645	0.00847722	0.0119449	0.00360999	0.054243	0.0343881	0.0179334	0.0477209	0.133696	0.271786	0.0385881	0.0917668	0.386373	0.0777895	0.286393	0.204456	0.232237	0.276914	0.00012694	0.00920699	0.107995	0.640626	4.24204	0.7698155
20	-5210.702	-5238.721	28.01881	0.2023611	0.0446572	0.0386222	0.0225806	0.0610966	0.0434983	0.0426473	0.0857396	0.0250984	0.0103748	0.00390194	0.106138	0.0612651	0.0229527	0.000786003	0.00658758	0.0106973	0.010576	0.0506751	0.0213199	0.0202058	0.0362642	0.126212	0.252188	0.0360435	0.113786	0.408873	0.0628978	0.273278	0.183361	0.245811	0.297551	0.000191098	0.0115911	0.122097	0.67313	4.19299	0.725685
30	-5219.659	-5247.114	27.45438	0.2330878	0.0414349	0.047637	0.0199909	0.0828413	0.0585706	0.0528331	0.092833	0.0170147	0.0142329	0.00166532	0.121576	0.0758807	0.0205889	0.000225238	0.0126287	0.0216683	0.00203174	0.0398083	0.0161909	0.0130824	0.0293937	0.139802	0.292942	0.0376355	0.107103	0.359886	0.062632	0.278019	0.193507	0.243194	0.285279	0.000542977	0.0208235	0.166478	0.761444	4.05071	0.7821284
40	-5220.333	-5247.85	27.51737	0.1794409	0.0250922	0.0308553	0.0241781	0.0797424	0.0485852	0.0476523	0.0595828	0.0240915	0.0160235	0.00562759	0.108457	0.101282	0.0311191	0.0039843	0.0057428	0.0106528	0.0110698	0.0489561	0.0277511	0.0135505	0.0518328	0.141652	0.29266	0.0374683	0.0791398	0.370601	0.0784787	0.267055	0.198747	0.241407	0.29279	6.94196e-05	0.00655082	0.090008	0.594889	4.30848	0.775829
50	-5215.845	-5244.148	28.30382	0.2105909	0.0375527	0.0276523	0.0320938	0.055742	0.0389604	0.0435685	0.0587834	0.0234187	0.0106608	0.00884584	0.118068	0.0528821	0.0146398	0.00120133	0.00738952	0.0148688	0.00466634	0.0583876	0.0272893	0.0203263	0.0401868	0.126741	0.25256	0.0485165	0.100068	0.417989	0.054126	0.286308	0.188976	0.229235	0.295482	0.000260462	0.0137948	0.133923	0.698532	4.15349	0.6971839
60	-5215.601	-5243.658	28.05679	0.2080829	0.0324983	0.0441742	0.0204211	0.0719308	0.0640849	0.02464	0.0699474	0.0237376	0.015065	0.00272846	0.129489	0.0716584	0.0041612	0.00493021	0.0120299	0.00959317	0.00507396	0.0442576	0.0274928	0.0176268	0.026346	0.134716	0.26801	0.042303	0.0817834	0.400782	0.0724046	0.278614	0.195523	0.225789	0.300074	0.000237624	0.0131016	0.130309	0.690933	4.16542	0.7218868
70	-5227.829	-5254.086	26.2561	0.191055	0.0457396	0.0467215	0.0415213	0.0719308	0.0593589	0.0473926	0.064873	0.0351404	0.0186283	0.00531669	0.165609	0.0868709	0.0124066	0.010616	0.00597065	0.0229052	0.00273526	0.0360791	0.0431429	0.0326652	0.0463318	0.125554	0.239081	0.0413637	0.0883139	0.451653	0.0540341	0.267361	0.188029	0.257262	0.287349	0.000119549	0.00890099	0.106063	0.635961	4.24895	0.9019559
80	-5213.162	-5241.214	28.05216	0.2302722	0.0416168	0.0282889	0.02098	0.0808118	0.0632218	0.0403846	0.0673795	0.0340186	0.00732333	0.00316166	0.116286	0.065618	0.0118657	0.0110817	0.00891419	0.00758353	0.000727627	0.0456115	0.0224486	0.0116926	0.0333338	0.119587	0.265238	0.0368593	0.0720684	0.429724	0.0765241	0.264849	0.190993	0.251586	0.292571	0.000499201	0.0198668	0.162406	0.754062	4.06317	0.72235
90	-5212.877	-5240.295	27.41818	0.2194518	0.0424037	0.0311889	0.0247212	0.0746042	0.0467584	0.0403846	0.0739203	0.0259732	0.012539	0.00144045	0.138709	0.0990214	0.0188421	0.0110817	0.00826994	0.0156294	0.00130041	0.0404263	0.0297467	0.0251695	0.0236177	0.100864	0.274675	0.0569648	0.0958922	0.404962	0.0666423	0.270055	0.20078	0.254114	0.275051	0.00035419	0.016392	0.146734	0.724411	4.11211	0.7857482
