Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
0	-5683.961	-5708.999	25.03786	0.0333844	0.02838	0.0167228	0.0549812	0.0424547	0.0382255	0.0475472	0.0194645	0.00727208	0.00450146	0.089149	0.0624942	0.00895074	0.00600863	0.0114087	0.00572222	0.0147993	0.0204958	0.0186705	0.0434417	0.0220385	0.5961131
10	-5688.684	-5713.946	25.2618	0.0238771	0.0321783	0.0135199	0.0518832	0.030632	0.0335752	0.0648656	0.0234622	0.00978578	0.00306152	0.0736855	0.0610897	0.0118015	0.00587236	0.00953851	0.00900874	0.0142624	0.0156823	0.021607	0.0393657	0.0249649	0.5737195
20	-5688.363	-5713.746	25.38303	0.0279825	0.0226782	0.0212979	0.0518465	0.039526	0.0351238	0.0565112	0.0264281	0.00849427	0.00715522	0.0682039	0.0598787	0.00308863	0.0047521	0.0172262	0.00448699	0.0142624	0.0143437	0.0176676	0.0356779	0.0249649	0.5615968
30	-5688.068	-5713.751	25.6837	0.0219553	0.0263558	0.0138732	0.0502613	0.027871	0.0331568	0.0508561	0.0205444	0.00943808	0.00155509	0.0766665	0.061706	0.0125135	0.00741449	0.0108284	0.00720245	0.0111024	0.0190662	0.0171294	0.0287316	0.0233013	0.5315292
40	-5694.588	-5720.008	25.42024	0.0237381	0.0389611	0.010727	0.0509857	0.0411142	0.0249753	0.0532578	0.0181975	0.00891149	0.00169565	0.0891475	0.0571263	0.0137474	0.001799	0.00989874	0.00319786	0.0211625	0.0186516	0.0153671	0.0234827	0.0317306	0.5578751
50	-5686.515	-5711.603	25.08849	0.0279935	0.0334573	0.0271191	0.0551873	0.042703	0.0367275	0.0503879	0.0156465	0.0103579	0.00458362	0.086085	0.0623214	0.00898596	0.00432637	0.0153005	0.00304624	0.0149099	0.0278965	0.00826381	0.0348573	0.0208942	0.5910508
60	-5689.698	-5714.517	24.81915	0.0338851	0.0328122	0.0159808	0.0620305	0.0458946	0.0433927	0.0579638	0.0199713	0.0119714	0.00363479	0.0759428	0.0604882	0.0120618	0.00961508	0.0197778	0.0038543	0.0167845	0.025872	0.011462	0.0292222	0.0253659	0.617984
70	-5692.774	-5718.136	25.36175	0.028315	0.0203993	0.0202609	0.0402799	0.0388347	0.0328169	0.0553493	0.0122401	0.0121551	0.00464313	0.0835919	0.057899	0.0113253	0.00178332	0.0270473	0.00477539	0.010991	0.0206249	0.0120903	0.042801	0.0255004	0.5637241
80	-5688.214	-5713.626	25.41271	0.036886	0.0248334	0.0202609	0.0468018	0.0340401	0.0358115	0.0477645	0.0289118	0.0127928	0.00652779	0.0809705	0.0617192	0.0112917	0.00755203	0.00914334	0.00336164	0.0103687	0.0173207	0.0107227	0.0301931	0.0213539	0.5586281
90	-5687.346	-5712.597	25.25045	0.0386302	0.0370133	0.0184047	0.0478404	0.0379165	0.0348872	0.0621485	0.0208476	0.00650169	0.00334171	0.086796	0.0505818	0.0105593	0.00755203	0.00849357	0.00386303	0.0149722	0.01781	0.0107531	0.0314977	0.0244434	0.5748541
100	-5693.227	-5718.491	25.26338	0.0248366	0.030902	0.021663	0.0612953	0.0344042	0.0342462	0.0380091	0.0220356	0.0137748	0.00595512	0.0743948	0.0596613	0.00832386	0.00623475	0.0120017	0.0111221	0.011365	0.0219467	0.0279698	0.0314977	0.0219213	0.5735609
110	-5689.176	-5714.278	25.10166	0.0295703	0.0200882	0.0299298	0.0573545	0.0419728	0.0317018	0.0494096	0.0191129	0.00647328	0.00713011	0.090593	0.0642868	0.00851468	0.00645946	0.0127539	0.00440296	0.0183217	0.0207346	0.00998581	0.0296632	0.0312745	0.5897339
120	-5693.088	-5718.07	24.98186	0.0319524	0.0260211	0.0176609	0.0470421	0.034125	0.0284557	0.0607627	0.0196007	0.0156459	0.002336	0.0795294	0.0672968	0.00370164	0.0028642	0.0191566	0.00455757	0.0125206	0.0233448	0.0261375	0.0458693	0.0331326	0.6017134
130	-5689.203	-5714.816	25.61294	0.0257597	0.0191966	0.0214123	0.0514331	0.0366606	0.0259097	0.0485705	0.0145149	0.0151197	0.00396169	0.0819094	0.0517833	0.0111249	0.0025056	0.0142953	0.00293268	0.0117132	0.0155825	0.0151929	0.0390961	0.029931	0.5386057
140	-5690.234	-5715.203	24.96957	0.0363593	0.0336674	0.0224509	0.0499338	0.0326829	0.0316579	0.0443461	0.0280355	0.00800764	0.00983707	0.0819094	0.0574576	0.0130475	0.00637839	0.0119504	0.00810639	0.0142096	0.0317703	0.0212909	0.0355134	0.0243297	0.6029421
150	-5689.725	-5715.131	25.40626	0.0311846	0.0391221	0.013092	0.0434696	0.0277432	0.0303988	0.0503196	0.0223147	0.0120704	0.00790459	0.0912601	0.061845	0.0049641	0.00388503	0.0126942	0.0052174	0.00960827	0.015381	0.0153915	0.0355134	0.0258937	0.5592734
160	-5693.74	-5718.675	24.93564	0.02953	0.036772	0.0234593	0.0638354	0.0405954	0.0276147	0.0582771	0.022093	0.0188964	0.00533131	0.0763961	0.0661895	0.0130013	0.00464163	0.0126296	0.000798351	0.0176623	0.0153995	0.0158468	0.0337704	0.0235952	0.6063354
170	-5688.157	-5713.349	25.19125	0.0236118	0.0293863	0.0242001	0.0505721	0.0302058	0.0331497	0.0413403	0.026432	0.0145002	0.00478148	0.0871788	0.065474	0.0102063	0.00751859	0.0176109	0.0089994	0.00933922	0.0198553	0.018928	0.0326335	0.0248507	0.5807747
180	-5688.233	-5713.393	25.15983	0.0331128	0.0387144	0.0191569	0.0365748	0.0314024	0.0313887	0.0530284	0.0216682	0.0112929	0.00376783	0.0950475	0.0637035	0.0106132	0.00624128	0.0108157	0.00424891	0.00919385	0.0236363	0.0195709	0.0321831	0.028555	0.5839166
190	-5696.4	-5721.612	25.21215	0.0434452	0.0293138	0.0211602	0.0560814	0.041285	0.0288068	0.0464149	0.0166281	0.016748	0.00681595	0.0710088	0.0619866	0.0115383	0.0101656	0.00754368	0.00876983	0.0180582	0.0174106	0.0136379	0.0260099	0.025856	0.5786847
200	-5684.644	-5709.707	25.06334	0.0291555	0.0290044	0.0246	0.0616074	0.044446	0.0341806	0.0523639	0.0201059	0.00795632	0.00285432	0.0820877	0.0525891	0.0103006	0.00415167	0.0168654	0.00822137	0.0113968	0.0183578	0.0205035	0.0320043	0.0308124	0.5935649
210	-5692.796	-5717.651	24.8554	0.027841	0.0360384	0.0264788	0.0617558	0.031226	0.0370135	0.0632768	0.0233156	0.0125877	0.0080781	0.0909606	0.0525891	0.0121572	0.00304548	0.0171315	0.00232059	0.017824	0.0181512	0.0169039	0.0375471	0.0181166	0.614359
220	-5690.045	-5715.37	25.32445	0.0323059	0.0234524	0.0168455	0.0429852	0.0322787	0.0403646	0.0649285	0.0295051	0.00858044	0.0037913	0.0798256	0.0685047	0.0109327	0.00599411	0.0110905	0.00853991	0.00970295	0.0183748	0.0141361	0.0252713	0.0200444	0.5674547
230	-5687.058	-5712.296	25.23807	0.033531	0.0278208	0.0230801	0.0497193	0.0417203	0.0290704	0.0552878	0.015651	0.00931191	0.00625173	0.0767572	0.065474	0.00716083	0.00440505	0.0158914	0.00473863	0.0203006	0.0169089	0.0127125	0.0335702	0.0267293	0.5760929
240	-5687.922	-5713.081	25.15887	0.0291776	0.0281122	0.0245464	0.058305	0.0306362	0.028607	0.0586032	0.0211691	0.0108494	0.00236712	0.0786325	0.077783	0.00779702	0.00843486	0.0117995	0.00473863	0.0151105	0.0153193	0.0143598	0.0338595	0.0238047	0.5840126
250	-5686.485	-5711.455	24.97008	0.0289838	0.0321844	0.0222699	0.0558028	0.0420278	0.0434065	0.0444262	0.0205821	0.0131479	0.00140777	0.0832717	0.0666108	0.0106626	0.00771265	0.0160345	0.00288346	0.0153203	0.0173473	0.015731	0.0320707	0.0310074	0.6028917
260	-5695.466	-5720.56	25.09462	0.0277993	0.0411291	0.0209717	0.0579296	0.0339266	0.0464722	0.046315	0.028227	0.0133643	0.00351301	0.0702376	0.0680584	0.0126074	0.00746143	0.0146536	0.00288384	0.0153203	0.0135734	0.0071686	0.0321255	0.0266992	0.5904372
270	-5691.048	-5716.224	25.1764	0.0310544	0.0303977	0.0248202	0.0543701	0.0489806	0.0267786	0.0449437	0.0178496	0.00633605	0.00652833	0.0811429	0.047858	0.00960498	0.0106105	0.0198319	0.00856441	0.0142382	0.0219289	0.010511	0.0390363	0.0268734	0.5822599
280	-5688.143	-5713.253	25.11013	0.0337593	0.0294872	0.0232232	0.049056	0.0413205	0.0232493	0.0569501	0.0200432	0.00902603	0.00706548	0.0851516	0.0682649	0.00511828	0.00345245	0.0105659	0.00983694	0.016617	0.0211614	0.0169633	0.0327043	0.0258707	0.5888869
290	-5686.776	-5711.898	25.12156	0.0281874	0.0252058	0.0184873	0.0562757	0.0447153	0.030968	0.0601218	0.0176697	0.0105475	0.00613101	0.0844529	0.0487659	0.0141196	0.00578786	0.0196964	0.00268344	0.0191472	0.0232676	0.0117215	0.0326934	0.0270986	0.5877437
300	-5692.159	-5717.253	25.09434	0.0429416	0.030233	0.0242553	0.0528176	0.0394494	0.0385592	0.0432477	0.0189699	0.00482476	0.00651023	0.0692953	0.0635701	0.0121139	0.00805754	0.0100095	0.00304385	0.0147482	0.0174748	0.0269275	0.0372963	0.0261199	0.5904654
310	-5689.703	-5714.672	24.96933	0.031698	0.0368904	0.0153078	0.0554776	0.0377758	0.0396204	0.0437871	0.0219886	0.0183694	0.00656783	0.0875293	0.0620887	0.0083422	0.0108866	0.00947401	0.00489827	0.0142453	0.0202813	0.0159214	0.0380841	0.0237325	0.6029666
320	-5697.043	-5721.837	24.79373	0.031698	0.0286314	0.0159031	0.0578307	0.0375899	0.0368859	0.0481283	0.0251588	0.00811645	0.00533323	0.0814375	0.0543193	0.0148292	0.00603866	0.0327232	0.00569036	0.0137357	0.0351998	0.0148512	0.0373537	0.0290717	0.620526
330	-5686.718	-5711.841	25.12274	0.0330055	0.0235976	0.0234714	0.0482351	0.0402111	0.0285795	0.0488482	0.0196932	0.00892524	0.00209312	0.0924424	0.0560112	0.0139279	0.00916762	0.0207485	0.00249564	0.0146191	0.0251143	0.0174038	0.0296954	0.02934	0.5876257
340	-5689.96	-5715.268	25.3075	0.0358394	0.0226013	0.0213114	0.0401708	0.0385078	0.0242417	0.056287	0.0166626	0.00600202	0.00373381	0.0889517	0.0559856	0.0115537	0.00405931	0.0202366	0.00185248	0.0163045	0.0257065	0.0222771	0.0340454	0.0228184	0.5691492
350	-5691.136	-5716.444	25.30829	0.0257292	0.0406788	0.0217223	0.0417703	0.033825	0.0436031	0.0540376	0.0167758	0.00729496	0.00373381	0.0851888	0.0588209	0.0115537	0.0019114	0.00989916	0.0103624	0.0147627	0.0140984	0.018118	0.0252378	0.0299458	0.56907
360	-5688.281	-5713.535	25.25461	0.0327466	0.0253641	0.0224376	0.0560924	0.0349589	0.0340323	0.040726	0.0235571	0.00885544	0.001962	0.0793615	0.0598588	0.0210786	0.00340594	0.0184891	0.00298409	0.0112071	0.0162631	0.0157487	0.0389028	0.0264069	0.5744388
370	-5692.397	-5717.452	25.05491	0.0358792	0.0262807	0.0166613	0.0536317	0.0436598	0.0389137	0.0389042	0.0276532	0.0113635	0.00287823	0.084465	0.0677844	0.00525104	0.00625562	0.0154698	0.0104944	0.011149	0.030691	0.0116149	0.0290003	0.0264069	0.594408
380	-5689.957	-5715.282	25.32555	0.0241191	0.0315287	0.018669	0.0521542	0.0351041	0.0358138	0.0441931	0.0223258	0.00968656	0.00135677	0.0763799	0.0470779	0.0124232	0.00779186	0.0179772	0.00148773	0.0128869	0.0248052	0.0126681	0.049608	0.0292873	0.5673447
390	-5688.301	-5713.636	25.3351	0.0316641	0.035224	0.0231385	0.0457941	0.0352616	0.0345838	0.0454696	0.0190629	0.0155658	0.000966138	0.0743401	0.0597935	0.00853386	0.00656569	0.00955943	0.00272929	0.0172741	0.0221907	0.0144424	0.0371551	0.0270746	0.5663894
400	-5687.835	-5712.893	25.05795	0.0323124	0.0342989	0.0174312	0.0529803	0.0418601	0.0298199	0.0593837	0.0135291	0.00591091	0.00476284	0.0817055	0.0680484	0.00808661	0.00738482	0.0178208	0.00644584	0.0172741	0.0202275	0.00958809	0.0348388	0.0303943	0.5941041
410	-5693.891	-5719.358	25.46705	0.0218236	0.025611	0.027347	0.0533077	0.0372398	0.0319882	0.0480352	0.0292188	0.00693383	0.00464692	0.0753646	0.0503241	0.0114922	0.00094017	0.0104554	0.00644584	0.00727699	0.0161145	0.0212583	0.0451788	0.0221917	0.5531948
420	-5697.962	-5723.243	25.28086	0.0237512	0.0241455	0.0182618	0.0569136	0.0454455	0.0391874	0.0460435	0.0159933	0.0194602	0.00349238	0.0843814	0.0546379	0.0193442	0.00134218	0.0110752	0.00344583	0.0161381	0.0103254	0.0245113	0.0314695	0.0224479	0.5718133
430	-5689.231	-5714.466	25.23558	0.0305157	0.0396892	0.0154153	0.0628286	0.0275205	0.0292103	0.0426086	0.0238674	0.010329	0.00685372	0.0843814	0.0603937	0.0113941	0.0019971	0.0162016	0.00250787	0.0166683	0.0213296	0.0154709	0.0304712	0.0266875	0.5763417
440	-5685.231	-5710.04	24.80867	0.0413866	0.0298722	0.0164059	0.0581917	0.0380407	0.034088	0.0543321	0.0248963	0.00905405	0.00349464	0.0970333	0.0660071	0.00939948	0.00611896	0.0170967	0.00517868	0.0157539	0.0181501	0.0150356	0.03346	0.0260369	0.6190328
450	-5684.535	-5709.778	25.24312	0.0307191	0.0305187	0.0217714	0.0452196	0.0385569	0.0347796	0.0500327	0.0202743	0.00989619	0.00802126	0.0930845	0.0624796	0.0122732	0.00379664	0.0157511	0.00594782	0.00897843	0.0183029	0.0158988	0.0262773	0.023007	0.575587
460	-5689.349	-5714.624	25.27447	0.0240371	0.0377237	0.0195139	0.0404763	0.0361083	0.0379867	0.0571686	0.0182117	0.0141773	0.00256225	0.0827471	0.0522799	0.00579442	0.00857117	0.0131819	0.00689838	0.017683	0.0227413	0.0213951	0.0269517	0.0262431	0.5724528
470	-5684.143	-5709.673	25.52973	0.0241685	0.02606	0.0193151	0.0454603	0.0398453	0.0280357	0.0593884	0.018435	0.00814176	0.00432014	0.0747378	0.0570595	0.00995476	0.00793202	0.0153087	0.00338106	0.0162838	0.0210276	0.0193813	0.0271412	0.0215489	0.5469267
