Gen	np	tree	lnL
2	0	0	-834.882
4	0	0	-836.596
6	0	0	-835.335
8	0	0	-836.270
10	0	0	-835.160
12	0	0	-837.411
14	0	0	-840.418
16	0	0	-838.156
18	0	0	-838.019
20	0	0	-841.634
22	0	0	-841.208
24	0	0	-836.585
26	0	0	-833.735
28	0	0	-838.135
30	0	0	-837.905
32	0	0	-837.434
34	0	0	-839.363
36	0	0	-833.713
38	0	0	-836.986
40	0	0	-838.271
42	0	0	-837.314
44	0	0	-839.748
46	0	0	-835.013
48	0	0	-836.329
50	0	0	-834.876
52	0	0	-834.418
54	0	0	-833.764
56	0	0	-834.793
58	0	0	-836.773
60	0	0	-837.127
62	0	0	-835.895
64	0	0	-840.064
66	0	0	-836.739
68	0	0	-834.951
70	0	0	-840.663
72	0	0	-834.905
74	0	0	-839.318
76	0	0	-835.696
78	0	0	-836.300
80	0	0	-837.042
82	0	0	-838.111
84	0	0	-835.967
86	0	0	-837.620
88	0	0	-837.644
90	0	0	-837.712
92	0	0	-836.345
94	0	0	-838.219
96	0	0	-841.829
98	0	0	-837.878
100	0	0	-840.533
102	0	0	-840.569
104	0	0	-838.853
106	0	0	-839.939
108	0	0	-839.020
110	0	0	-837.753
112	0	0	-840.539
114	0	0	-839.321
116	0	0	-839.472
118	0	0	-836.396
120	0	0	-836.449
122	0	0	-836.367
124	0	0	-839.462
126	0	0	-839.471
128	0	0	-839.971
130	0	0	-840.431
132	0	0	-843.000
134	0	0	-839.179
136	0	0	-840.071
138	0	0	-843.741
140	0	0	-838.688
142	0	0	-839.956
144	0	0	-840.227
146	0	0	-842.648
148	0	0	-841.492
150	0	0	-840.074
152	0	0	-843.952
154	0	0	-837.048
156	0	0	-841.914
158	0	0	-842.577
160	0	0	-839.682
162	0	0	-835.610
164	0	0	-837.866
166	0	0	-836.121
168	0	0	-836.381
170	0	0	-838.018
172	0	0	-838.689
174	0	0	-839.334
176	0	0	-838.218
178	0	0	-837.744
180	0	0	-837.798
182	0	0	-839.034
184	0	0	-839.020
186	0	0	-837.629
188	0	0	-835.349
190	0	0	-837.542
192	0	0	-838.142
194	0	0	-838.102
196	0	0	-841.264
198	0	0	-840.783
200	0	0	-838.616
202	0	0	-839.630
204	0	0	-839.959
206	0	0	-838.601
208	0	0	-837.608
210	0	0	-835.397
212	0	0	-836.439
214	0	0	-834.496
216	0	0	-836.486
218	0	0	-836.670
220	0	0	-835.077
222	0	0	-836.933
224	0	0	-836.421
226	0	0	-834.867
228	0	0	-837.400
230	0	0	-833.382
232	0	0	-837.701
234	0	0	-844.998
236	0	0	-839.391
238	0	0	-835.630
240	0	0	-836.002
242	0	0	-834.938
244	0	0	-837.896
246	0	0	-834.183
248	0	0	-836.662
250	0	0	-838.461
252	0	0	-833.880
254	0	0	-836.627
256	0	0	-838.459
258	0	0	-837.454
260	0	0	-835.846
262	0	0	-838.815
264	0	0	-838.891
266	0	0	-839.074
268	0	0	-836.716
270	0	0	-837.802
272	0	0	-838.970
274	0	0	-839.484
276	0	0	-838.380
278	0	0	-839.062
280	0	0	-842.241
282	0	0	-836.996
284	0	0	-835.900
286	0	0	-834.194
288	0	0	-834.470
290	0	0	-837.004
292	0	0	-835.009
294	0	0	-836.786
296	0	0	-839.476
298	0	0	-841.518
300	0	0	-840.927
302	0	0	-841.714
304	0	0	-835.591
306	0	0	-838.837
308	0	0	-843.271
310	0	0	-839.552
312	0	0	-838.535
314	0	0	-837.670
316	0	0	-838.151
318	0	0	-837.049
320	0	0	-836.811
322	0	0	-836.057
324	0	0	-837.324
326	0	0	-838.935
328	0	0	-835.924
330	0	0	-836.338
332	0	0	-837.065
334	0	0	-837.015
336	0	0	-840.714
338	0	0	-840.294
340	0	0	-833.862
342	0	0	-836.172
344	0	0	-836.108
346	0	0	-842.317
348	0	0	-842.684
350	0	0	-836.987
352	0	0	-837.265
354	0	0	-840.652
356	0	0	-840.590
358	0	0	-839.917
360	0	0	-840.340
362	0	0	-838.087
364	0	0	-841.278
366	0	0	-834.585
368	0	0	-839.507
370	0	0	-833.483
372	0	0	-837.242
374	0	0	-840.130
376	0	0	-837.891
378	0	0	-835.756
380	0	0	-839.065
382	0	0	-835.358
384	0	0	-837.083
386	0	0	-838.692
388	0	0	-839.585
390	0	0	-836.871
392	0	0	-836.235
394	0	0	-836.452
396	0	0	-833.743
398	0	0	-835.888
400	0	0	-839.946
402	0	0	-839.798
404	0	0	-842.211
406	0	0	-840.103
408	0	0	-841.872
410	0	0	-837.505
412	0	0	-840.257
414	0	0	-837.478
416	0	0	-836.146
418	0	0	-837.119
420	0	0	-834.532
422	0	0	-835.987
424	0	0	-841.086
426	0	0	-842.542
428	0	0	-835.346
430	0	0	-835.888
432	0	0	-833.620
434	0	0	-838.907
436	0	0	-835.537
438	0	0	-837.324
440	0	0	-836.911
442	0	0	-838.040
444	0	0	-838.148
446	0	0	-843.016
448	0	0	-836.210
450	0	0	-834.721
452	0	0	-836.126
454	0	0	-835.392
456	0	0	-836.124
458	0	0	-838.571
460	0	0	-837.994
462	0	0	-843.614
464	0	0	-835.089
466	0	0	-839.460
468	0	0	-840.056
470	0	0	-836.170
472	0	0	-836.023
474	0	0	-836.145
476	0	0	-837.985
478	0	0	-833.802
480	0	0	-834.392
482	0	0	-837.182
484	0	0	-838.379
486	0	0	-838.921
488	0	0	-839.221
490	0	0	-837.259
492	0	0	-837.467
494	0	0	-836.163
496	0	0	-838.446
498	0	0	-839.247
500	0	0	-844.148
502	0	0	-837.684
504	0	0	-837.891
506	0	0	-838.359
508	0	0	-842.627
510	0	0	-846.837
512	0	0	-842.656
514	0	0	-839.630
516	0	0	-835.651
518	0	0	-837.396
520	0	0	-835.988
522	0	0	-838.452
524	0	0	-837.541
526	0	0	-835.111
528	0	0	-836.647
530	0	0	-834.519
532	0	0	-834.944
534	0	0	-837.706
536	0	0	-839.648
538	0	0	-837.733
540	0	0	-836.176
542	0	0	-839.758
544	0	0	-836.550
546	0	0	-837.274
548	0	0	-838.604
550	0	0	-837.724
552	0	0	-834.306
554	0	0	-839.554
556	0	0	-838.116
558	0	0	-837.673
560	0	0	-835.250
562	0	0	-835.858
564	0	0	-836.276
566	0	0	-836.732
568	0	0	-835.403
570	0	0	-840.373
572	0	0	-838.404
574	0	0	-838.816
576	0	0	-835.532
578	0	0	-838.093
580	0	0	-835.680
582	0	0	-837.594
584	0	0	-844.818
586	0	0	-839.289
588	0	0	-836.759
590	0	0	-836.264
592	0	0	-839.445
594	0	0	-835.797
596	0	0	-838.310
598	0	0	-839.490
600	0	0	-839.232
602	0	0	-841.317
604	0	0	-839.952
606	0	0	-842.253
608	0	0	-842.680
610	0	0	-838.950
612	0	0	-836.601
614	0	0	-835.694
616	0	0	-838.394
618	0	0	-841.286
620	0	0	-837.681
622	0	0	-838.140
624	0	0	-838.356
626	0	0	-843.869
628	0	0	-839.391
630	0	0	-837.675
632	0	0	-839.005
634	0	0	-837.620
636	0	0	-841.079
638	0	0	-840.512
640	0	0	-842.960
642	0	0	-840.101
644	0	0	-840.481
646	0	0	-839.742
648	0	0	-839.252
650	0	0	-843.212
652	0	0	-840.971
654	0	0	-842.517
656	0	0	-842.532
658	0	0	-837.755
660	0	0	-840.898
662	0	0	-842.743
664	0	0	-841.595
666	0	0	-840.893
668	0	0	-837.853
670	0	0	-838.045
672	0	0	-839.733
674	0	0	-848.593
676	0	0	-839.505
678	0	0	-834.927
680	0	0	-837.335
682	0	0	-841.371
684	0	0	-838.301
686	0	0	-843.319
688	0	0	-837.244
690	0	0	-838.844
692	0	0	-838.518
694	0	0	-840.451
696	0	0	-838.047
698	0	0	-840.134
700	0	0	-840.246
702	0	0	-840.590
704	0	0	-837.566
706	0	0	-836.836
708	0	0	-837.468
710	0	0	-837.887
712	0	0	-843.809
714	0	0	-835.362
716	0	0	-835.917
718	0	0	-835.992
720	0	0	-840.101
722	0	0	-840.537
724	0	0	-838.463
726	0	0	-837.573
728	0	0	-840.810
730	0	0	-841.200
732	0	0	-839.980
734	0	0	-842.395
736	0	0	-834.904
